feed_name,raw_column,status_labels,never_loaded,dropped,loaded_but_unused,meaning_or_example,example_values,is_renamed_to,is_stored,is_used,where_dropped,drop_reason,where_used,recommendation
isbe_filed_docs_tsv,ID,never_loaded|dropped,yes,yes,no,Example: 1 | 2 | 3,1 | 2 | 3,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,Pages,never_loaded|dropped,yes,yes,no,Example: 2 | 0 | 3,2 | 0 | 3,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,Provider,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,RcvdAt,never_loaded|dropped,yes,yes,no,Example: S | C,S | C,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,RcvdDateTime,never_loaded|dropped,yes,yes,no,Example: 1989-05-30 10:54:00 | 1989-05-30 16:02:00 | 1989-05-30 10:57:00,1989-05-30 10:54:00 | 1989-05-30 16:02:00 | 1989-05-30 10:57:00,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,RedactionRequested,never_loaded|dropped,yes,yes,no,Example: False,False,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,RptPdBegDate,never_loaded|dropped,yes,yes,no,Example: 1989-01-07 00:00:00 | 1988-07-01 00:00:00 | 1989-01-08 00:00:00,1989-01-07 00:00:00 | 1988-07-01 00:00:00 | 1989-01-08 00:00:00,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,RptPdEndDate,never_loaded|dropped,yes,yes,no,Example: 1989-03-17 00:00:00 | 1989-05-25 00:00:00 | 1989-03-05 00:00:00,1989-03-17 00:00:00 | 1989-05-25 00:00:00 | 1989-03-05 00:00:00,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SbmttrAddress1,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SbmttrAddress2,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SbmttrCity,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SbmttrFirstName,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SbmttrLastOnlyName,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SbmttrState,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SbmttrZip,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SignerFirstName,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,SignerLastOnlyName,never_loaded|dropped,yes,yes,no,No clear mapping; see drop_reason,,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_filed_docs_tsv,Source,never_loaded|dropped,yes,yes,no,Example: D,D,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,CandidateID,never_loaded|dropped,yes,yes,no,Example: 1 | 2 | 3,1 | 2 | 3,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,ElectionType,never_loaded|dropped,yes,yes,no,Example: GP | GE | CE,GP | GE | CE,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,ElectionYear,never_loaded|dropped,yes,yes,no,Example: 1988 | 1992 | 1996,1988 | 1992 | 1996,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,FairCampaign,never_loaded|dropped,yes,yes,no,Example: False | True,False | True,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,ID,never_loaded|dropped,yes,yes,no,Example: 1 | 2 | 3,1 | 2 | 3,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,IncChallOpen,never_loaded|dropped,yes,yes,no,Example: Inc | Chal | Open,Inc | Chal | Open,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,LimitsOff,never_loaded|dropped,yes,yes,no,Example: False | True,False | True,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,LimitsOffReason,never_loaded|dropped,yes,yes,no,Example: Limits Off for Race | Board Determination | Self Funding Disclosure,Limits Off for Race | Board Determination | Self Funding Disclosure,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_canelections_tsv,WonLost,never_loaded|dropped,yes,yes,no,Example: Won | Lost | Nob,Won | Lost | Nob,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,Address1,never_loaded|dropped,yes,yes,no,Example: 435 W Erie Street # 1204 | 744 Lenox Ln | 215 Wing Park Boulevard,435 W Erie Street # 1204 | 744 Lenox Ln | 215 Wing Park Boulevard,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,Address2,never_loaded|dropped,yes,yes,no,"Example: 20 N Wacker Dr, Ste 2275 | #6C | Unit 2","20 N Wacker Dr, Ste 2275 | #6C | Unit 2",,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,City,never_loaded|dropped,yes,yes,no,Example: Chicago | Glenview | Elgin,Chicago | Glenview | Elgin,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,FirstName,never_loaded|dropped,yes,yes,no,Example: Christopher | Mary Lou | Christina,Christopher | Mary Lou | Christina,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,ID,never_loaded|dropped,yes,yes,no,Example: 77192 | 804 | 87269,77192 | 804 | 87269,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,LastName,never_loaded|dropped,yes,yes,no,Example: !saac | Aagaard | Aagesen,!saac | Aagaard | Aagesen,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,Phone,never_loaded|dropped,yes,yes,no,Example: 312.929.6406 | 618/253-3602 | 312-332-7132,312.929.6406 | 618/253-3602 | 312-332-7132,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,RedactionRequested,never_loaded|dropped,yes,yes,no,Example: False | True,False | True,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,State,never_loaded|dropped,yes,yes,no,Example: IL | PA | DC,IL | PA | DC,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,Title,never_loaded|dropped,yes,yes,no,Example: Treasurer | Chair | Secretary,Treasurer | Chair | Secretary,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_officers_tsv,Zip,never_loaded|dropped,yes,yes,no,Example: 60654 | 60025 | 60123,60654 | 60025 | 60123,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,Address1,never_loaded|dropped,yes,yes,no,Example: 10034 S. Carpenter | 11152 S. Lowe | 19w055 Avenue Normandy South,10034 S. Carpenter | 11152 S. Lowe | 19w055 Avenue Normandy South,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,Address2,never_loaded|dropped,yes,yes,no,Example: 2nd Floor North | Second Floor North | Unit #5,2nd Floor North | Second Floor North | Unit #5,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,City,never_loaded|dropped,yes,yes,no,Example: Chicago | Oak Brook | Lombard,Chicago | Oak Brook | Lombard,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,CommitteeID,never_loaded|dropped,yes,yes,no,Example: 1 | 5 | 8,1 | 5 | 8,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,FirstName,never_loaded|dropped,yes,yes,no,Example: Sylvia | Nelson | Hugh R.,Sylvia | Nelson | Hugh R.,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,ID,never_loaded|dropped,yes,yes,no,Example: 6707 | 6708 | 114,6707 | 6708 | 114,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,LastName,never_loaded|dropped,yes,yes,no,Example: Brooks | Rice | Murphy,Brooks | Rice | Murphy,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,RedactionRequested,never_loaded|dropped,yes,yes,no,Example: False | True,False | True,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,ResignDate,never_loaded|dropped,yes,yes,no,Example: 1998-12-31 12:05:33 | 1998-12-31 12:05:53 | 1989-10-06 00:00:00,1998-12-31 12:05:33 | 1998-12-31 12:05:53 | 1989-10-06 00:00:00,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,State,never_loaded|dropped,yes,yes,no,Example: IL | Il | iL,IL | Il | iL,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,Title,never_loaded|dropped,yes,yes,no,Example: Treasurer | Chair | Vice-Chair,Treasurer | Chair | Vice-Chair,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_prev_officers_tsv,Zip,never_loaded|dropped,yes,yes,no,Example: 60643 | 60628 | 60521,60643 | 60628 | 60521,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_cmte_officer_links_tsv,CommitteeID,never_loaded|dropped,yes,yes,no,Example: 1 | 2 | 3,1 | 2 | 3,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_cmte_officer_links_tsv,ID,never_loaded|dropped,yes,yes,no,Example: 23999 | 24000 | 3,23999 | 24000 | 3,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_cmte_officer_links_tsv,OfficerID,never_loaded|dropped,yes,yes,no,Example: 26668 | 26669 | 2,26668 | 26669 | 2,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,Address1,never_loaded|dropped,yes,yes,no,Example: 5069 N. Broadway | 201 E. Cherry St. | Rose & Franklin Aves.,5069 N. Broadway | 201 E. Cherry St. | Rose & Franklin Aves.,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,Address2,never_loaded|dropped,yes,yes,no,Example: Suite 1000 | p o box 33030 | P O Box 89,Suite 1000 | p o box 33030 | P O Box 89,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,Archived,never_loaded|dropped,yes,yes,no,Example: False | True,False | True,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,City,never_loaded|dropped,yes,yes,no,Example: Chicago | Watseka | Franklin Park,Chicago | Watseka | Franklin Park,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,CommitteeID,never_loaded|dropped,yes,yes,no,Example: 4294 | 320 | 4682,4294 | 320 | 4682,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,Country,never_loaded|dropped,yes,yes,no,Example: United States | Cook | Will,United States | Cook | Will,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,CurrentValue,never_loaded|dropped,yes,yes,no,Example: 5000 | 100000 | 35000,5000 | 100000 | 35000,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,Description,never_loaded|dropped,yes,yes,no,Example: Purchase CD | purchase of CD | Certificate of Deposit,Purchase CD | purchase of CD | Certificate of Deposit,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,FiledDocID,never_loaded|dropped,yes,yes,no,Example: 173016 | 173563 | 173583,173016 | 173563 | 173583,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,FirstName,never_loaded|dropped,yes,yes,no,Example: Banda | Quin | Beverly,Banda | Quin | Beverly,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,ID,never_loaded|dropped,yes,yes,no,Example: 22 | 23 | 24,22 | 23 | 24,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,LastOnlyName,never_loaded|dropped,yes,yes,no,Example: International Bank of Chicago | Iroquois Federal Savings | LaSalle Bank,International Bank of Chicago | Iroquois Federal Savings | LaSalle Bank,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,LiquidDate,never_loaded|dropped,yes,yes,no,Example: 1999-06-30 00:00:00 | 1999-12-31 00:00:00 | 1999-09-27 00:00:00,1999-06-30 00:00:00 | 1999-12-31 00:00:00 | 1999-09-27 00:00:00,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,LiquidValue,never_loaded|dropped,yes,yes,no,Example: 10000 | 0 | 56859.8,10000 | 0 | 56859.8,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,PurchaseDate,never_loaded|dropped,yes,yes,no,Example: 1998-07-29 00:00:00 | 1998-04-01 00:00:00 | 1999-01-29 00:00:00,1998-07-29 00:00:00 | 1998-04-01 00:00:00 | 1999-01-29 00:00:00,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,PurchasePrice,never_loaded|dropped,yes,yes,no,Example: 15000 | 100000 | 35000,15000 | 100000 | 35000,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,PurchaseShares,never_loaded|dropped,yes,yes,no,Example: 0,0,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,State,never_loaded|dropped,yes,yes,no,Example: IL | PA | MA,IL | PA | MA,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
isbe_investments_tsv,Zip,never_loaded|dropped,yes,yes,no,Example: 60640 | 60970 | 60131,60640 | 60970 | 60131,,,no,database/bulk_download_loader.py:1362,explicitly excluded (import-bulk-download never selects this file type),,Either migrate consumers to sunshine-import outputs or extend import-bulk-download to include this file family.
