Phase,Category,Item #,Title,Description,Priority,Horizon,Effort,Risk/Severity
Phase 1: Paper Cuts,UX,6,Flash messages don't auto-dismiss,Add JS fade-out after 5 seconds,Low,NOW,,
Phase 1: Paper Cuts,UX,7,Tables not responsive on mobile,Add horizontal scroll wrapper,Low,NOW,,
Phase 1: Paper Cuts,UX,8,No empty-state illustrations,Add friendly messages for no data,Low,NOW,,
Phase 1: Paper Cuts,UX,9,Sort direction indicators inconsistent,Standardize across tables,Low,NOW,,
Phase 1: Paper Cuts,UX,10,Footer disclaimer is dense,Collapse into expandable accordion,Low,NOW,,
Phase 2: Features,Civic-Tech,1,Election Countdown Dashboard,Real-time days-to-election with fundraising pace tracker,,NOW,,
Phase 2: Features,Civic-Tech,2,Candidate Report Card,"Auto-generated score card: diversity, small-dollar %, transparency",,NOW,,
Phase 2: Features,Civic-Tech,3,Voter-Facing Contribution Lookup,Search by address/district,,NOW,,
Phase 2: Features,Civic-Tech,4,Dark Money Tracker,Flag committees with opaque funding sources,,NOW,,
Phase 2: Features,Civic-Tech,5,Legislative Vote + Money Correlation,Cross-reference voting records with donors,,NEXT,,
Phase 2: Features,Civic-Tech,6,Lobbyist-to-Contribution Pipeline,Match lobbyists to contribution patterns,,NEXT,,
Phase 2: Features,Civic-Tech,7,Public Campaign Finance Scorecard API,Open API for journalists/researchers,,NEXT,,
Phase 2: Features,Civic-Tech,8,Civic Engagement Alerts,Email/SMS for new large contributions,,NEXT,,
Phase 2: Features,Civic-Tech,9,Historical Trend Explorer,Multi-cycle visualization with inflation adjustment,,NEXT,,
Phase 2: Features,Civic-Tech,10,Redistricting Impact Analyzer,Show district changes affect donor networks,,NEXT,,
Phase 2: Features,Data Science,11,Contribution Velocity Scoring,Rate-of-change analysis for fundraising spikes,,NEXT,,
Phase 2: Features,Data Science,12,Donor Similarity Clusters,K-means/DBSCAN grouping donors by patterns,,NEXT,,
Phase 2: Features,Data Science,13,Anomaly Detection ML,Isolation forest for unusual patterns,,NEXT,,
Phase 2: Features,Data Science,14,Predictive Fundraising Model,Forecast next-quarter totals,,NEXT,,
Phase 2: Features,Data Science,15,Network Community Detection,Louvain algorithm on donor-committee graph,,NEXT,,
Phase 2: Features,Data Science,16,Influence Propagation Score,PageRank-style scoring,,LATER,,
Phase 2: Features,Data Science,17,Donor Lifetime Value Model,Survival analysis on donor retention,,LATER,,
Phase 2: Features,Data Science,18,Geographic Hotspot Analysis,Spatial clustering by ZIP code,,LATER,,
Phase 2: Features,Data Science,19,Text Classification for Expenditures,NLP model beyond keyword matching,,LATER,,
Phase 2: Features,Data Science,20,Cross-Network Bridge Detection,Betweenness centrality on multi-component graph,,LATER,,
Phase 2: Features,Non-DS,21,Saved Filter Presets,Save and share complex filter combinations,,LATER,,
Phase 2: Features,Non-DS,22,Shareable Report Links,Permalink with OG meta tags,,LATER,,
Phase 2: Features,Non-DS,23,Email Digest Subscriptions,Weekly summary of new filings,,LATER,,
Phase 2: Features,Non-DS,24,Embeddable Widgets,iframe-ready charts for journalists,,LATER,,
Phase 2: Features,Non-DS,25,Bulk Data Export Portal,Self-service download of cleaned datasets,,LATER,,
Phase 2: Features,Non-DS,26,Audit Log & Activity Feed,Track admin actions and data changes,,LATER,,
Phase 2: Features,Non-DS,27,Multi-State Expansion Framework,Abstract state-specific logic,,LATER,,
Phase 2: Features,Non-DS,28,Dark Mode,CSS custom properties for theme switching,,LATER,,
Phase 2: Features,Non-DS,29,Accessibility Audit + Fixes,WCAG 2.1 AA compliance,,LATER,,
Phase 2: Features,Non-DS,30,Progressive Web App (PWA),Offline support for saved reports,,LATER,,
Phase 3: DS Roadmap,Data Science,1,Contribution Velocity Scoring,Pure SQL over monthly totals,,NOW,Low,
Phase 3: DS Roadmap,Data Science,2,Donor Similarity Clusters,K-means on donor features,,NOW,Low,
Phase 3: DS Roadmap,Data Science,3,Anomaly Detection ML,Isolation forest upgrade,,NEXT,Medium,
Phase 3: DS Roadmap,Data Science,4,Network Community Detection,Louvain on bipartite graph,,NEXT,Medium,
Phase 3: DS Roadmap,Data Science,5,Influence Propagation Score,PageRank on weighted edges,,NEXT,Medium,
Phase 3: DS Roadmap,Data Science,6,Predictive Fundraising Model,Gradient boosting on quarterly totals,,LATER,High,
Phase 3: DS Roadmap,Data Science,7,Donor Lifetime Value,Survival analysis,,LATER,High,
Phase 3: DS Roadmap,Data Science,8,Geographic Hotspot Analysis,DBSCAN on ZIP centroids,,LATER,Medium,
Phase 3: DS Roadmap,Data Science,9,Expenditure Text Classification,Fine-tuned classifier,,LATER,High,
Phase 3: DS Roadmap,Data Science,10,Cross-Network Bridge Detection,Betweenness centrality,,LATER,Medium,
Phase 4: Monetization,Business,1,Freemium Civic-Tech SaaS,Free dashboard; paid API/alerts/export,,,,$0/$29/$99/mo
Phase 4: Monetization,Business,2,API Access Tiers,Tiered request limits,,,,$0/$49/$299/mo
Phase 4: Monetization,Business,3,Consulting & Custom Analysis,On-demand research reports,,,,"$500-5,000/report"
Phase 4: Monetization,Business,4,Data Licensing,Cleaned datasets for researchers,,,,"$1,000-10,000/yr"
Phase 4: Monetization,Business,5,Sponsored Research,Foundation-funded investigations,,,,Grant-funded
Phase 4: Monetization,Business,6,Training & Workshops,Data literacy sessions,,,,"$200-1,000/session"
Phase 7: Risks,Security,R1,SQL Injection,Whitelist sort fields; parameterize all dynamic SQL,,,,Critical / High
Phase 7: Risks,Security,R2,Missing CSRF,Add Flask-WTF CSRF tokens to all forms,,,,High / High
Phase 7: Risks,Security,R3,No API Auth,Add API key auth + rate limiting,,,,High / High
Phase 7: Risks,Security,R4,Hardcoded Secret Key,Move to env var; rotate immediately,,,,Critical / High
Phase 7: Risks,Performance,R5,Memory OOM on CSV Export,Implement streaming response,,,,High / Medium
Phase 7: Risks,Performance,R6,Unbounded Report Queries,Add pagination,,,,High / Medium
Phase 7: Risks,Data,R7,ISBE Website Changes,Add HTML structure validation tests,,,,Medium / High
Phase 7: Risks,Data,R8,FEC API Rate Limits,Proper exponential backoff + caching,,,,Medium / Medium
Phase 7: Risks,Data,R9,Stale Analytics Cache,Cache invalidation on refresh,,,,Medium / Medium
Phase 7: Risks,Infra,R10,Single-Server Deployment,Document recovery; add backups,,,,Medium / Low
Phase 7: Risks,Compliance,R11,No Audit Trail,Log admin actions; activity feed,,,,Medium / Low
Phase 7: Risks,Legal,R12,Privacy (Donor PII),All public record; add disclaimer,,,,High / Low
Phase 7: Risks,Maintainability,R13,Bus Factor = 1,Document architecture; contributor guide,,,,High / Medium
Phase 7: Risks,Quality,R14,Test Coverage Gaps,Add scraper tests; target 80% coverage,,,,Medium / Medium
Phase 7: Risks,Scalability,R15,SQLite Scale Ceiling,Plan PostgreSQL migration at ~10 GB,,,,Low / Low
